sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48
YMR032W	1.14365	1.160042	1.507983	1.195862	1.065574	1.195862	1.758552	1.171638	0.136644	-0.48461	-1.537934	-1.978077	-1.357251	-1.498844	-0.931355	-0.21787	0.468495	0.894186	1.714185	0.840407	0.133181	-0.835699	-0.273126	-0.76317	0.825028	1.195862	1.37943	1.195862	1.306367	1.507983	1.758552	1.324023	-0.027177	-0.822042	-1.585488	-1.978077	-1.689215	-1.385994	-0.787838	-0.255987	0.690777	1.448563	1.714185	1.08305	0.152738	-1.02083	-0.70085	-1.083785
YML040W	-0.434509	-0.831188	1.758552	-0.272765	-0.31327	-0.533346	-0.475664	-0.241515	-0.880262	0.006442	-0.441299	0.032299	1.08305	-0.415589	-0.414216	-0.325441	-0.822042	-1.498844	0.061694	-0.060628	0.510777	2.335384	2.496404	2.496404	2.657205	-0.906266	0.637563	-0.268768	-0.19897	-1.867705	-0.603948	-0.507838	-0.200332	-0.446456	-1.29921	0.006242	1.34023	0.094685	0.16779	-0.092292	-0.131644	-0.15964	1.355584	-0.367026	2.1122	2.335384	2.496404	2.01199
YOR264W	0.884428	1.14365	1.37943	1.714185	2.01199	1.925833	1.799361	1.758552	1.860406	1.758552	2.1122	1.667005	0.179422	-0.840058	-1.385994	-1.537934	-0.97819	-0.574292	-0.039333	0.765515	0.982558	1.08305	0.449502	0.068384	0.351312	1.08305	1.532017	1.758552	1.925833	1.860406	2.1122	1.860406	2.01199	2.01199	1.860406	1.593395	0.208508	-0.971339	-1.585488	-1.537934	-1.235094	-0.66681	-0.047843	0.593735	0.603725	1.123481	0.576095	0.080105
YMR046C	-0.726793	-0.751164	1.593395	-0.440593	-0.217144	-0.931355	-0.730118	-0.585625	-1.163185	-0.48918	-0.741783	-0.270933	0.584267	-0.602366	-0.211398	-0.225405	-0.645709	-1.334105	-0.118768	-0.562131	0.309866	2.496404	2.884677	2.217099	1.714185	-0.592391	0.761667	-0.289956	-0.161764	-1.147233	-0.621517	-0.409366	-0.313742	-0.712223	-1.075393	-0.167198	0.914259	-0.095912	0.109308	-0.42188	-0.12588	-0.435233	1.37943	-0.364015	1.925833	2.657205	2.657205	2.217099
YMR051C	-0.487444	-0.744593	1.355584	-0.255987	-0.219178	-0.678152	-0.43101	-0.211398	-0.849945	-0.174489	-0.466035	0.048946	0.97404	-0.444423	-0.202827	-0.402534	-0.563666	-0.662616	0.102316	-0.078847	0.526037	2.657205	2.657205	2.335384	2.1122	-0.76317	0.416368	-0.265898	-0.233697	-1.978077	-0.5394	-0.450486	-0.203671	-0.480592	-1.147233	-0.091026	1.271085	0.098424	0.227664	-0.145622	-0.096299	-0.105144	1.620184	-0.358686	2.217099	2.496404	2.884677	2.1122
YNL160W	0.560557	0.463472	-0.401324	-0.726793	-0.542943	-0.66681	-0.04839	-0.416513	0.68306	0.738692	-0.691667	-1.537934	-2.534401	-2.534401	-2.534401	-2.534401	-1.010338	-0.004217	0.74174	0.954612	0.831276	-0.505856	-1.773947	-1.773947	0.733441	0.717441	-0.313742	-0.798791	-0.619326	-0.608906	-0.087152	-0.504607	0.365001	0.504336	-0.645709	-2.534401	-2.534401	-2.534401	-2.534401	-2.173676	-0.912563	-0.148178	0.495096	0.707672	0.506295	-0.68024	-1.136518	-1.867705
YDL003W	2.1122	2.496404	-0.072556	-1.125666	-1.689215	-1.031279	-0.656119	-0.072816	0.160228	0.990129	1.324023	1.860406	1.925833	1.160042	-0.314997	-0.939004	-1.385994	-0.912563	-0.300307	0.045506	0.263362	0.356573	0.546493	1.054135	1.620184	2.657205	0.020171	-1.069046	-1.585488	-1.10353	-0.439264	-0.026756	0.569083	1.171638	1.324023	1.925833	2.01199	1.593395	-0.130484	-0.962604	-0.874193	-0.594072	-0.132115	0.141315	0.280535	0.440411	0.546493	0.678016
YNL289W	2.335384	2.01199	-0.715003	-1.585488	-1.978077	-1.010338	-1.462039	-1.462039	-0.957401	-0.124105	0.458121	0.884428	1.171638	0.996974	-0.236461	-1.174979	-1.185302	-1.277801	-1.29921	-0.994651	-0.277049	0.3066	0.26623	0.437519	1.507983	2.217099	-0.715003	-1.585488	-1.773947	-1.111863	-1.29921	-0.906266	-0.791436	-0.341791	0.520198	0.894186	1.37943	0.97404	-0.407413	-0.994651	-1.537934	-1.111863	-1.357251	-1.050754	-0.454038	0.260511	0.30385	0.315042
YGL028C	-0.612522	0.719607	2.335384	1.925833	2.657205	2.335384	2.657205	2.496404	2.496404	1.799361	2.657205	2.657205	2.496404	1.593395	0.195698	-0.282496	-0.189893	0.304629	0.383223	0.773064	1.160042	1.860406	1.758552	1.667005	-0.705899	0.7127	2.1122	2.657205	2.496404	2.657205	2.335384	2.657205	2.657205	2.657205	2.335384	2.884677	2.496404	1.448563	0.050567	-0.482474	-0.305828	0.101918	0.259242	0.776856	0.811843	2.01199	1.860406	1.799361
YOR248W	2.496404	4.04079	2.657205	1.532017	0.600351	0.122946	0.157184	0.066457	-0.210186	0.134099	-0.01987	0.336962	0.562091	1.171638	1.160042	0.768677	0.221257	-0.088342	0.025768	-0.267281	-0.244659	-0.205611	-0.259972	-0.098568	2.335384	4.04079	2.657205	1.400749	0.717441	0.395355	-0.055801	-0.223942	-0.079499	0.066902	0.237082	0.411652	0.74174	1.287663	1.34023	1.065574	0.106733	-0.114759	-0.491474	-0.491474	-0.358686	-0.295436	-0.285001	-0.017134
