sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48
YGR014W	0.435305	0.675348	0.471571	-0.010143	-0.358686	-0.409366	-0.438492	-0.314997	-0.592391	-0.156346	-0.571078	0.136194	0.341167	0.495096	0.380595	-0.314495	-1.003039	-1.412812	-1.462039	-1.185302	-1.163185	-0.657929	-0.23518	-0.406052	0.854054	0.750628	0.497747	-0.037687	-0.267706	-0.322407	-0.503406	-0.48918	-0.496517	-0.64347	-0.286245	-0.055605	0.267199	0.370027	0.305428	-0.395489	-0.885161	-1.462039	-1.689215	-1.537934	-1.010338	-0.612522	-0.237577	-0.457389
YLR121C	0.295089	-0.096544	-0.050772	-0.329875	-0.438492	-0.244031	0.16753	0.436011	1.160042	0.925492	1.474821	1.593395	1.507983	1.195862	0.316623	-0.656119	-0.187428	0.188145	0.194618	0.462668	0.690777	0.602223	0.423557	0.874535	0.528259	-0.235846	-0.209005	-0.439955	-0.256291	-0.177821	-0.048722	-0.006483	0.655117	1.195862	1.287663	1.424928	1.532017	1.160042	0.04636	-0.01876	-0.515838	-0.108834	0.086054	0.228292	0.773064	0.97404	0.551558	1.183097
YJL170C	-1.978077	-1.978077	-1.773947	-1.069046	-0.97819	-0.708921	-0.71805	-0.751164	-0.563666	-0.222603	-0.536667	-0.540459	-1.02083	-0.514954	-0.741783	-0.369527	-0.295436	-0.049909	-0.456696	-0.006884	0.028446	0.284828	-0.309632	0.195698	-2.534401	-1.978077	-1.867705	-1.277801	-0.773787	-0.548552	-0.885161	-0.776748	-0.813838	-1.185302	-0.490485	-0.577489	-0.730118	-0.168942	-0.490485	-1.069046	-1.163185	-0.322845	0.036297	0.090944	-0.11931	-0.228467	-0.091863	-0.202317
YDL127W	-1.334105	-0.210186	0.954612	-0.459218	-0.617488	-0.447192	-0.305828	-0.33821	-0.035283	0.270007	0.119901	1.14365	-0.077557	-0.741783	-1.163185	-1.277801	-1.060476	-0.835699	-1.083785	-0.420376	-0.211736	0.315042	0.345574	-0.20338	-1.203153	-0.140981	-0.204508	-0.597662	-0.514954	-0.400092	-0.304241	-0.277637	-0.145622	0.288561	0.657173	0.577723	0.170488	-0.766297	-1.185302	-1.462039	-1.385994	-0.835699	-0.962604	-0.39865	0.3066	0.600351	0.3417	-0.069739
YIL026C	0.459928	0.459123	-0.678152	-0.8179	-1.537934	-1.125666	-0.736412	-0.236785	0.020513	0.028684	0.493263	0.526037	0.672439	-0.109265	0.091993	-0.75406	-0.805946	-0.567715	-0.419098	0.049143	-0.096544	0.335566	0.387812	0.790849	-0.016695	0.667453	-0.513579	-0.71805	-0.893716	-1.185302	-1.031279	-0.156591	-0.435876	0.094934	0.501811	0.884428	1.00471	0.608359	-0.101236	-0.776748	-1.092723	-0.619326	-0.380155	-0.372705	-0.084037	0.365001	0.406701	0.4694
YNL235C	-0.197087	-0.008419	-0.461691	-0.079499	-0.119728	-0.099195	-0.157893	1.324023	-0.441299	-0.387194	0.003109	0.131893	-0.007233	-0.427061	-0.159034	0.19435	-0.236785	-0.33821	-0.335242	2.657205	-0.822042	-0.840058	-0.337173	-1.003039	-0.004341	-0.278012	-0.230194	-0.186369	-0.024723	-0.450486	-0.200972	0.378938	0.733441	0.276367	0.710135	0.088573	-0.47212	-0.583913	-0.228467	-0.504607	-0.241804	0.449502	-0.186594	-0.046404	-0.810169	0.765515	-1.412812	-0.547108
YOL155C	-0.169172	-0.070619	0.807528	0.754125	0.889622	0.229185	-0.021251	-0.016916	-0.053954	-0.034067	-0.040077	0.283325	0.446001	0.140673	0.010535	-0.724019	-0.844434	-0.826808	-1.385994	-0.798791	-0.906266	-0.384387	-0.11769	0.030714	0.203241	-0.201197	0.646453	0.694223	0.820298	0.055115	-0.025011	-0.109022	-0.222348	-0.361298	-0.175924	0.041224	0.305428	0.268215	-0.259972	-0.687626	-1.203153	-1.412812	-1.867705	-1.357251	-0.401962	-0.114522	0.078795	0.208753
YLR452C	-1.357251	-1.257555	-0.172958	0.562091	0.884428	0.907566	0.798244	0.907566	1.123481	0.717441	1.033227	0.761667	0.790849	0.936782	0.761667	0.825028	0.736231	0.605267	0.424323	0.364209	0.637563	0.750628	0.536103	0.30877	-1.257555	-1.317083	-0.172485	0.600351	0.97404	0.874535	0.864306	1.160042	1.065574	0.820298	0.97404	0.719607	0.74491	1.00471	0.714948	0.722527	0.74491	0.484406	0.479787	0.605267	0.362809	0.74491	0.516542	0.279722
YEL032W	0.133181	-0.100113	-0.566246	-0.424185	-0.419098	0.569083	0.869307	1.00471	1.287663	0.936782	0.544122	0.349318	-0.241515	-0.536667	-0.637021	-0.3511	-0.181821	0.314619	0.629569	0.687948	0.663247	0.168561	-0.141208	-0.193354	0.367613	0.048746	-0.589088	-0.518281	0.014577	0.53337	1.043569	1.271085	1.400749	1.34023	0.788074	0.265158	-0.361298	-0.656119	-0.733734	-0.603948	-0.162995	0.229807	0.707672	0.996974	0.968228	0.318351	-0.145301	-0.12588
YER087W	-0.049909	-0.073891	0.184221	0.30181	-0.595581	0.404387	0.424323	0.171199	0.298712	0.459123	0.504336	0.481695	-0.125413	0.133839	0.036297	0.176266	0.07199	-0.018174	-0.118103	-0.154073	0.149042	0.092241	-0.114522	-0.212262	0.031928	0.042754	0.057887	0.04765	0.210368	0.011167	0.050985	-0.036206	0.011347	-0.161959	4.04079	0.081154	0.014377	0.008833	0.011721	-0.066232	-0.125223	-0.140025	-0.007037	-0.148178	-0.164025	-0.133971	-0.084342	-0.018343
YIL131C	0.437519	0.733441	0.611712	0.664981	0.395904	-0.034306	-0.580738	-0.826808	-0.889293	-0.931355	-0.826808	-0.660447	-0.506852	0.216508	0.545334	0.569083	0.323335	-0.079062	-0.585625	-0.840058	-1.040627	-0.354077	-0.158599	-0.305501	0.374855	0.74777	0.968228	0.844295	0.546493	-0.192825	-0.70085	-0.687626	-0.795125	-0.950018	-1.031279	-0.744593	-0.407985	0.114892	0.438876	0.26759	0.387239	-0.15355	-0.776748	-0.849945	-1.136518	-0.32764	-0.126655	-0.088855
YGR092W	-0.318756	-0.494288	-0.424185	-0.151547	0.42671	0.803278	0.901446	0.859927	0.738692	0.265158	-0.205117	-0.86981	-0.885161	-0.822042	-0.73944	-0.316328	0.093068	0.464905	0.761667	0.57067	0.431479	0.023538	-0.152211	-0.5394	-0.144662	-0.531396	-0.445729	-0.192266	0.520198	0.825028	0.968228	0.889622	0.836142	0.201847	-0.291401	-0.840058	-1.163185	-0.918208	-0.76038	-0.120137	0.120778	0.510777	0.661313	0.894186	0.398823	0.119901	-0.069352	-0.363486
YDL018C	0.327717	0.291111	-0.621517	-0.684997	-0.98535	-0.805946	-1.083785	-0.444995	-0.094971	0.516542	0.722527	0.920365	0.576095	0.351312	-0.469975	-0.504607	-0.971339	-0.950018	-0.423545	-0.506852	-0.058047	0.262731	0.159799	0.218012	0.091757	0.380107	-0.338806	-0.724019	-1.174979	-0.994651	-0.66681	-0.326306	-0.19897	0.361346	0.954612	1.022223	0.936782	0.286522	-0.436818	-0.73944	-0.865021	-0.8179	-0.802481	-0.258262	-0.087152	0.060743	0.11847	0.209383
YNL173C	0.465692	1.08305	1.160042	0.982558	1.113627	1.507983	1.400749	1.222245	1.448563	1.101901	1.34023	0.930202	0.920365	-0.159034	-0.170582	-0.438492	-0.390975	-0.195777	0.18715	0.375992	0.704807	0.423557	0.291111	0.293751	0.776856	1.022223	1.234996	1.424928	1.222245	1.101901	1.287663	1.022223	1.207415	1.507983	0.996974	0.907566	0.920365	-0.203969	-0.274222	-0.621517	-0.130745	-0.152901	0.267199	0.304629	1.00471	0.611712	0.391902	0.312022
YLR214W	0.661313	0.901446	1.101901	1.054135	0.930202	0.433682	0.195923	0.077306	-0.516872	-0.5394	-0.885161	-0.831188	-0.776748	-0.621517	-0.291401	-0.126348	0.084749	0.317421	0.110569	0.020513	-0.016262	0.159412	0.365001	0.100369	0.639539	0.889622	1.34023	0.944637	0.788074	0.479787	0.336416	-0.003064	-0.449645	-0.791436	-0.957401	-0.880262	-0.831188	-0.780045	-0.520791	-0.332593	0.097844	0.41372	0.239979	0.056347	-0.146106	0.078795	0.146484	0.188402
YMR104C	0.600351	-0.022011	-0.452188	-0.036633	-0.006884	-0.651805	0.687948	-1.257555	0.336117	0.97404	0.374311	0.113853	-0.645709	1.860406	-0.293815	0.139253	0.156456	0.028087	-2.534401	-0.138079	0.422065	-0.130484	-0.635083	0.16753	0.039167	0.178647	0	-0.269601	0.108855	-0.826808	-0.264426	-0.202563	-0.254962	0.362248	-0.028244	0.495951	-0.196867	0.16216	-0.432575	0.005475	-0.149705	-0.400092	-0.283888	-0.190371	-0.055423	0.126988	0.013379	-0.269217
YOL016C	-0.333455	-0.246235	0.078369	0.319758	0.714948	1.123481	1.033227	1.306367	1.355584	1.074287	1.306367	1.08305	1.448563	1.799361	1.183097	1.14365	1.324023	2.335384	1.134473	1.207415	1.593395	1.34023	1.507983	1.400749	-0.307255	-0.389122	0.188145	0.522287	0.650456	1.123481	0.97404	1.424928	1.758552	1.474821	1.400749	1.37943	1.620184	1.714185	1.714185	1.532017	0.961076	0.901446	0.699104	1.234996	1.08305	1.620184	1.074287	1.667005
YER095W	-0.082457	0.095775	-0.662616	-0.925195	-1.040627	-0.918208	-0.757753	-0.619326	-0.230194	0.097146	0.576095	0.836142	1.022223	0.4195	-0.144439	-0.671126	-0.957401	-0.698627	-0.733734	-0.466035	-0.138897	-0.215146	0.150948	0.097408	0.518971	-0.012329	-0.744593	-0.957401	0.325003	-1.163185	-1.10353	-0.757753	-0.170037	0.043982	0.386259	0.780251	0.907566	0.334526	-0.503406	-0.918208	-1.075393	-0.860636	-1.075393	-0.623028	-0.146516	-0.053195	0.05314	-0.19545
YMR316W	-0.383507	-0.314997	0.42671	0.811843	1.00471	1.08305	0.836142	1.113627	1.14365	1.160042	1.171638	1.101901	1.287663	1.532017	1.507983	2.1122	1.925833	1.34023	1.37943	1.925833	1.758552	1.474821	1.287663	1.799361	-0.120579	-0.39865	0.34607	0.925492	1.134473	1.14365	1.00471	1.065574	0.869307	1.287663	1.306367	1.448563	1.287663	1.799361	1.860406	2.335384	1.925833	0.968228	1.183097	1.593395	1.14365	1.37943	1.195862	1.563192
YCR065W	1.171638	0.97404	0.914259	0.098424	-0.299013	-0.433197	0.014774	0.138245	0.440411	0.58589	0.45038	1.092544	1.563192	0.74491	0.844295	-0.290675	-0.287753	-0.30256	-0.337173	-0.408831	0.907566	0.520198	0.794724	1.123481	1.271085	0.925492	0.399386	0.159976	-0.234841	-0.469975	-0.144439	-0.399475	-0.152637	0.480835	0.484406	0.925492	1.474821	0.982558	0.474766	-0.130745	-0.182314	-0.365877	0.321043	-0.099648	1.355584	0.719607	0.925492	0.936782
YOL090W	0.303441	0.474766	-0.320284	-0.885161	-1.031279	-1.163185	-0.684997	-0.397816	-0.217144	0.14601	0.803278	0.780251	0.587497	0.410104	-0.082457	-0.773787	-0.784028	-0.865021	-0.347189	0.020686	0.058964	0.280535	0.321479	0.298712	0.133635	0.528259	-0.326806	-0.831188	-1.040627	-0.98535	-0.691667	-0.499778	-0.083634	0.271521	0.773064	0.869307	0.710135	0.558811	-0.261878	-0.98535	-0.684997	-0.780045	-0.353565	-0.166774	-0.001072	0.4195	0.300654	0.435305
YPL061W	-0.116959	-0.171828	-0.221592	-0.077362	0.039167	0.836142	1.010631	1.250893	1.00471	1.113627	0.738692	0.428122	0.05806	-0.144141	-0.089958	-0.122527	0.357018	0.730311	0.944637	1.033227	0.648576	-0.204238	-0.396077	-0.684997	-0.077362	-0.07672	-0.274993	-0.245942	0.459123	0.889622	1.123481	1.234996	1.34023	1.022223	0.61343	0.399386	0.069008	-0.167886	-0.247901	0.122742	0.780251	1.183097	1.113627	0.914259	0.446908	-0.046185	-0.66681	-0.645709
YNR060W	1.593395	1.054135	2.1122	2.335384	2.1122	1.306367	1.092544	1.593395	1.563192	1.234996	1.925833	1.714185	1.799361	2.335384	2.335384	2.884677	2.496404	2.657205	2.496404	2.884677	2.496404	1.563192	1.400749	1.925833	0.7127	1.355584	2.335384	2.496404	1.860406	1.306367	1.022223	1.474821	1.474821	1.799361	1.620184	1.714185	1.799361	2.1122	2.335384	2.884677	2.884677	2.657205	2.884677	2.884677	1.563192	1.714185	1.424928	2.496404
YKR093W	1.043569	0.511834	1.424928	0.825028	1.799361	0.920365	1.222245	1.160042	1.101901	0.944637	0.346485	0.825028	0.990129	0.063879	0.472571	-0.242179	0.241468	0.288561	0.123191	-0.001281	2.884677	0.382116	0.672439	1.250893	0.74491	0.576095	0.719607	1.00471	0.936782	0.707672	1.113627	-0.05989	1.271085	1.010631	0.825028	0.944637	1.448563	1.195862	0.840407	0.109121	0.282899	0.717441	1.507983	0.292599	2.335384	0.820298	0.74174	0.373761
YCR024C-A	0.389085	0.436636	0.261702	0.166239	0.497747	0.719607	0.4694	0.455476	0.230446	-0.194522	-0.250576	-1.075393	-0.773787	-0.378258	0.317421	0.323784	0.831276	1.287663	1.14365	-0.023817	0.081756	-0.336718	0.05806	-1.334105	0.485329	0.365001	0.297256	0.211765	0.182215	0.447583	0.722527	0.407937	0.070535	-0.307669	-0.698627	-0.787838	-0.582466	-0.726793	-0.143589	0.004925	0.990129	1.123481	0.820298	0.492372	0.192162	-0.254624	-0.148436	-0.62501
YLL059C	0.226728	-0.435233	0.263733	0.028446	-0.109265	-0.211398	0.347353	0.815615	2.1122	-0.30145	-0.075547	-0.557682	-0.084769	-0.432575	-0.56953	0.010728	-0.156871	0.37115	-0.009417	0.010535	0.697189	1.00471	-0.128491	2.657205	0.228618	-0.138542	-0.025403	0.219464	-0.094317	-0.00059	-0.006342	-0.032249	-0.079692	0.119025	-0.193354	-0.0579	-0.267983	0.854054	0.101302	0.082184	0.252402	0.157184	-0.138897	0.162643	0.195698	0.127164	0.780251	-0.153777
YKL029C	0.982558	0.221257	0.944637	0.202115	-0.177065	-0.493432	-0.447192	-0.698627	-0.684997	-0.29782	-0.260365	0.107816	0.727621	0.444521	0.468495	0.652609	0.690777	0.40047	0.68306	0.051613	0.722527	0.663247	0.831276	1.171638	1.424928	0.079663	0.32057	0.202342	-0.238517	-0.607231	-0.533346	-0.669077	-0.453064	-0.348906	-0.322025	0.164192	0.773064	0.657173	0.609875	0.536103	0.248565	0.455476	0.5142	0.235292	1.714185	0.605267	0.807528	0.944637
YNL283C	-0.466996	0.063488	0.126561	0.111859	-0.404572	-1.092723	-1.163185	-0.994651	-0.651805	-0.291401	-0.520791	0.212608	0.294637	0.470414	0.490124	-0.172033	-0.481418	-0.8179	-1.075393	-1.235094	-1.060476	-0.689599	-0.172757	-0.282496	0.03051	-0.149705	0.243164	0.06216	-0.121793	-0.813838	-1.125666	-1.498844	-1.075393	-0.844434	-0.551447	-0.042454	0.420578	0.489276	0.430899	-0.037122	-0.757753	-0.950018	-1.29921	-1.689215	-0.579133	-0.305015	-0.247901	-0.115191
YDL243C	-0.452188	-0.59083	0.362248	-0.258537	-0.307669	-0.660447	-0.595581	-0.64798	-0.705899	-0.315961	-0.682763	-0.260365	0.258201	-0.607231	-0.619326	-0.234841	-0.626833	-0.678152	0.099679	-0.040077	0.379573	0.914259	0.659109	1.355584	0.572164	-0.509034	-0.078502	-0.306801	-0.282496	-0.831188	-0.635083	-0.893716	-0.237124	-0.288602	-0.664719	-0.678152	0.414262	-0.159376	0.373034	-0.166064	-0.708921	0.062318	0.925492	-0.408831	1.134473	0.990129	0.463472	0.259867
YGL255W	0.646453	-0.025779	-0.085329	-0.110488	0.541166	1.010631	0.990129	1.033227	1.092544	0.685504	0.815615	0.914259	0.815615	0.06216	0.930202	1.758552	2.01199	1.758552	0.365511	1.424928	1.092544	0.736231	0.159976	0.312847	0.432289	-0.277637	-0.335242	0.016539	0.433682	0.605267	0.815615	0.412267	1.022223	1.123481	0.844295	0.844295	0.637563	1.474821	1.424928	1.667005	1.799361	1.758552	1.287663	0.831276	0.864306	0.874535	0.825028	1.207415
YIL009W	0.306162	0.491233	0.433682	0.336117	0.864306	1.00471	1.171638	1.234996	1.207415	0.678016	1.010631	0.62451	0.280535	-0.326806	-0.605706	-0.541665	-0.27909	-0.132807	0.392485	0.596586	0.664981	0.878609	0.542556	0.425907	0.439412	0.404387	0.47762	0.473492	0.925492	1.134473	1.271085	1.507983	1.37943	0.990129	0.761667	0.568156	0.02951	-0.468039	-0.780045	-0.744593	-0.393385	-0.021438	0.277881	0.854054	0.451121	0.761667	0.581071	0.490124
YBR027C	-0.034515	0.037573	0.101302	0.26623	0.039902	0.990129	0.071342	-0.340142	1.043569	0.544122	0.237996	0.234169	0.381093	0.065707	0.116674	0.02625	-0.115827	0.082388	-0.595581	-2.534401	-0.174246	0.149998	0.28519	0.526037	0.011167	0.116221	-0.319738	0.224825	0.874535	-0.326806	0.511834	-1.050754	-0.177567	0.111421	0.780251	0.144193	-0.070866	-0.394136	0.313366	0.57067	-0.174489	0.326378	0.120994	0.736231	0.215897	-0.093892	1.134473	-0.239633
YOL070C	0.441182	0.657173	0.687948	0.736231	0.996974	0.982558	0.874535	0.68306	0.300301	-0.103825	-0.340531	-0.744593	-0.784028	-0.59083	-0.412069	-0.334855	0.35181	0.445318	0.558811	0.495951	0.169866	0.049508	-0.004026	-0.548552	0.317077	0.495096	0.714948	0.750628	0.920365	0.996974	0.794724	0.730311	0.364209	-0.100792	-0.59083	-0.736412	-0.912563	-0.744593	-0.75406	-0.361816	0.151719	0.574921	0.652609	0.594983	0.049508	0.226476	0.17402	-0.182052
YNL296W	1.134473	0.650456	1.620184	0.894186	0.430899	0.424323	-0.687626	-0.28317	-0.141208	0.197508	0.011167	0.661313	0.925492	0.060929	0.289652	0.132699	-0.217327	-0.475664	-0.47212	0.041224	0.216776	0.420078	0.622689	1.101901	0.637563	1.324023	1.474821	1.101901	0.221541	-0.262634	-0.389616	-0.434509	-0.159882	0.221541	0.416368	0.807528	0.925492	0.968228	1.183097	0.040722	-0.244659	-0.171828	0.065464	-0.174246	-0.133736	0.453589	0.212608	0.617387
YDR077W	-0.651805	-0.944539	-0.931355	-0.571078	-1.174979	-0.68024	-0.101236	-0.393385	-0.178067	0.226476	-0.445729	-1.083785	-1.257555	-1.357251	-1.773947	-1.689215	-1.203153	-1.10353	-0.925195	-1.031279	-0.610885	-0.034704	-0.022247	-0.97819	0.345079	-0.900773	-0.889293	-1.060476	-0.660447	-0.726793	-0.418448	-0.513579	-0.148436	-0.404572	-0.424185	-1.075393	-1.317083	-1.978077	-1.689215	-1.585488	-1.867705	-1.203153	-0.854538	-0.957401	-0.123387	0.027492	0.005475	-0.950018
YJL079C	0.027065	-0.050927	-0.957401	-1.174979	-1.257555	-1.235094	-0.417747	-0.310368	-0.06487	0.083866	-0.257407	-0.962604	-1.385994	-1.092723	-1.092723	-0.645709	-0.369086	0.072153	-0.010348	0.488333	0.355384	-0.352615	-0.44281	-0.802481	0.30743	-0.049159	-1.010338	-1.111863	-1.092723	-0.893716	-0.822042	-1.069046	-0.242852	0.080982	-0.193962	-0.994651	-1.334105	-1.867705	-0.962604	-0.510014	-0.486321	-0.026563	0.054302	0.057289	0.546493	-0.137416	-0.392746	-0.614163
YLR297W	0.576095	0.547861	0.127844	0.374855	0.961076	1.113627	0.407937	1.195862	1.074287	-0.364015	0.603725	0.233207	0.048746	0.158116	0.512989	0.733441	1.667005	2.217099	1.532017	1.667005	1.532017	0.153178	0.125592	0.415532	0.355384	0.592061	0.134299	0.461853	0.414262	1.160042	1.160042	1.183097	0.370508	0.794724	0.600351	0.282899	0.182215	-0.041011	0.257793	1.14365	0.433682	1.593395	1.424928	1.714185	1.043569	0.528259	0.497747	0.354883
YOR195W	0.511834	0.010114	-0.183075	-0.75406	-0.691667	-0.900773	-0.623028	-0.562131	-0.637021	0.020513	0.392485	0.356573	0.780251	0.836142	0.374855	-0.462575	-0.733734	-0.805946	-0.62501	0.230824	-0.417046	0.661313	0.491233	0.320187	0.449502	0.367613	-0.12754	-0.621517	-0.885161	-0.950018	-0.76038	-0.155302	-0.100979	-0.115588	0.299398	0.620889	0.593735	0.756928	0.215171	-0.519513	-0.431969	-0.574292	-0.404572	-0.299013	-0.736412	0.675348	0.650456	0.725257
YKR012C	-0.207803	0.16885	0.00603	0.027282	-0.316921	-0.156346	-0.443774	0.12949	-0.438492	-0.637021	-0.213559	-0.145622	0.307027	1.667005	0.004338	-0.325769	-0.994651	-0.605706	-1.174979	-0.97819	-0.284323	0.247402	0.48617	-0.16472	0.060565	0.181206	0.223903	-0.473857	-0.521928	-0.03041	-0.478614	-1.357251	-0.399475	-0.233697	0.002334	-1.010338	-0.02096	-0.286245	-0.366361	-0.157379	0.215515	-1.537934	-0.241515	-1.29921	-0.612522	0.334526	0.831276	-0.197889
YLR131C	0.283325	0.754125	0.312377	-0.032036	0.836142	0.854054	0.342992	0.168062	-0.671126	-0.104934	-0.880262	-0.44893	-0.715003	-0.426372	-0.322025	-0.150213	0.451121	0.681012	0.283706	0.191587	-0.257407	-0.085112	-0.419591	-0.479568	0.569083	0.74174	0.629569	0.499576	1.043569	0.894186	0.596586	0.159412	-0.231088	-0.691667	-1.125666	-1.10353	-0.918208	-0.64798	-0.188139	0.334089	0.276367	0.509357	0.309107	-0.019287	-0.322025	-0.321205	-0.172277	-0.466035
YIL169C	-0.161001	-0.210496	0.889622	0.733441	1.043569	0.149581	0.222175	0.061162	0.271521	0.594983	0.071795	0.318351	0.589236	0.309107	0.348358	-0.244659	-0.950018	-0.649765	-1.185302	-0.563666	-0.383914	0.081576	0.129267	0.374855	0.574921	-0.218234	0.831276	0.869307	0.704807	0.05314	0.145552	-0.302991	-0.133736	-0.101424	-0.05245	0.22595	0.598389	0.457226	-0.045308	-0.463543	-0.900773	-1.031279	-1.136518	-1.040627	0.15835	0.118235	0.253318	0.397616
YEL076C-A	0.761667	0.629569	0.53337	-0.528463	-0.226843	-0.294238	0.284828	0.629569	0.710135	1.043569	0.854054	0.803278	1.065574	-0.175665	-0.511184	-0.931355	-0.409967	-0.320284	0.413049	0.487135	1.207415	0.768677	0.848826	0.854054	0.815615	0.507356	0.395355	0.035063	-0.319738	-0.641583	0.024149	-0.02096	0.451121	0.859927	0.480835	0.776856	1.043569	0.357563	-0.097805	-0.619326	-0.01352	0.230824	0.836142	0.340258	1.113627	1.00471	1.043569	0.768677
YDR458C	0.145284	0.073511	-0.152901	0.409313	0.410915	0.150683	0.231751	0.264415	-0.12479	-1.050754	0.235931	-0.042056	0.230824	0.160728	0.01712	-0.299013	0.261416	0.396379	2.657205	-1.773947	0.256795	-0.123901	0.399386	-0.046583	-0.550115	0.402478	0.041932	0.230824	-0.298266	0.084749	0.065707	-0.127787	-0.169486	-0.270587	0.584267	0.347847	0.188402	0.339692	0.4302	0.104314	-0.009953	0.081576	-0.835699	0.254576	0.300654	0.269309	0.086493	0.267199
YLR364W	-0.123901	-0.673354	-0.889293	-0.464271	-0.805946	-0.098568	-0.069352	-1.357251	-0.918208	-0.805946	-0.994651	-0.835699	-0.047843	-0.029002	-0.422747	-0.556612	0.707672	-0.106342	0.013186	0.05291	-0.411398	0.173082	-1.174979	-1.277801	-0.906266	-0.346209	-0.572669	-0.521928	-0.849945	-0.222603	-0.481418	-1.040627	-1.203153	-0.944539	-0.33821	-0.68024	-0.269217	-0.280567	-0.336263	-0.1859	-0.389122	-0.066437	0.112987	0.284828	-2.534401	-1.537934	-1.02083	-0.587156
YPL198W	-0.25327	0.234744	0.593735	-0.200079	0.159603	0.134299	0.068031	0.211247	-0.101625	0.402478	-0.378849	-0.276692	0.336117	0.235292	-0.626833	2.335384	1.37943	0.263362	-0.019098	0.249382	0.336962	0.346485	0.632955	1.34023	0.527078	0.1949	-0.015256	-0.533346	0.178167	0.014966	0.137802	-0.096965	0.060743	0.150457	0.529637	-0.188429	-0.145108	-1.111863	0.357018	-0.172485	0.145785	-0.409366	0.617387	-0.058298	0.356049	0.261416	1.324023	0.239172
YPR035W	-0.087382	-0.401962	-0.1859	-0.236785	-0.076136	0.375356	0.632955	0.598389	0.722527	1.183097	1.234996	1.123481	1.134473	1.010631	0.094685	-0.122362	-0.15355	0.096572	0.251725	0.377864	0.884428	1.287663	1.074287	0.831276	-0.113154	-0.414873	-0.317385	-0.272765	0.05291	0.714948	0.733441	0.944637	1.222245	1.113627	1.183097	1.250893	0.930202	0.659109	0.377274	0.186889	-0.069572	0.093267	0.212887	0.722527	0.788074	1.195862	1.022223	1.355584
YER160C	-0.950018	-0.931355	-0.541665	-0.900773	-0.632918	-0.885161	-0.68024	-0.478614	-1.174979	-0.689599	-0.595581	-0.27909	-0.244996	-0.087152	-0.251153	-0.149437	-0.447192	-1.031279	-0.003425	-0.425667	-0.023011	0.840407	1.250893	0.068801	-0.407985	-0.874193	-0.391642	-1.136518	-0.374356	-0.944539	-0.669077	-0.192825	-0.275749	-1.136518	-0.387194	-0.608906	-0.417747	-0.077153	0.017276	-0.302146	0.060929	-0.241199	-0.038729	-0.154362	-1.147233	0.884428	1.101901	0.115132
YJL016W	-0.234453	-0.254962	0.023351	-0.514954	-0.298589	-0.130271	-0.733734	-0.349318	0.043982	0.103679	0.420578	-0.357134	0.516542	0.667453	0.598389	-0.305501	-0.363486	0.416368	0.982558	2.217099	-0.53248	-0.076347	-0.168692	0.020171	0.042346	-0.918208	-0.471285	0.072346	0.113645	-0.466035	0.196919	-0.025779	-0.378258	0.914259	0.722527	0.58589	-0.084037	0.990129	0.224825	0.399906	0.083866	-0.47762	-0.183892	-0.574292	0.12737	0.044142	-0.465203	-0.033382
YPL192C	-1.689215	-1.689215	-1.689215	-1.136518	-0.482474	-0.495347	-0.906266	-0.844434	-0.435233	-0.822042	-0.574292	-0.791436	-0.597662	-0.176458	-0.339745	0.157184	-0.055801	-0.159882	0.038398	-0.024519	-0.06223	-0.407413	-0.13981	0.145089	-1.689215	-1.689215	-1.689215	-1.185302	-0.696278	-0.502151	-0.787838	-0.71805	-0.822042	-0.702969	-0.533346	-0.343264	-0.519513	-0.390196	-0.081792	-0.152901	-0.036409	-0.138542	0.2711	-0.115385	0.039902	-0.354545	-0.260365	-0.102924
YGL177W	0.20564	-0.037314	0.511834	0.098651	-0.027712	-0.395489	-2.173676	0.635287	0.418912	0.596586	-0.189676	0.602223	0.492372	0.230446	0.027492	0.036087	0.16134	0.159976	0.528259	-0.199759	0.19642	0.307868	0.825028	0.920365	0.765515	0.103853	0.382527	0.065707	-0.117886	-0.298589	-0.308183	-0.295036	-0.13781	0.127844	0.045123	0.022154	0.527078	-0.205943	-0.013666	0.265877	0.268516	0.701822	0.292599	-0.12588	0.907566	1.355584	1.065574	1.287663
YGR265W	0.162876	0.086929	0.420578	0.453589	0.098257	0.232657	0.328715	0.417731	0.473492	0.488333	0.09617	0.165202	-0.068964	-0.200332	-0.296294	-0.220105	-0.231714	-0.130003	0.235568	-0.18767	0.19108	1.620184	1.714185	0.889622	1.799361	0.190359	0.277881	0.393155	0.227664	-0.050541	0.198312	0.03215	0.229185	0.399386	0.173082	0.209764	-0.042861	-0.135038	-0.188429	-0.297383	-0.131896	0.039902	0.098424	-0.321205	1.271085	1.448563	1.306367	1.043569
